N,Page,ID,Name,Author,Description,Tags,Sensors
1105,74,2608822,Dew Point Measurement,mwa0000034512686,,[],Unknown
1106,74,2943039,Sala Fabricación Cir...,mwa0000037328640,,[],Unknown
1107,74,2513639,NODE 1,mwa0000033711980,,[],Unknown
1108,74,1684737,Dew Point Measurement,mwa0000026052347,,[],Unknown
1109,74,2512149,Dew Point Measurement,mwa0000033742454,,[],Unknown
1110,74,2608167,Dew point,mwa0000034503395,,[],Unknown
1111,75,2608822,Dew Point Measurement,mwa0000034512686,,[],Unknown
1112,75,2943039,Sala Fabricación Cir...,mwa0000037328640,,[],Unknown
1113,75,2513639,NODE 1,mwa0000033711980,,[],Unknown
1114,75,1684737,Dew Point Measurement,mwa0000026052347,,[],Unknown
1115,75,2512149,Dew Point Measurement,mwa0000033742454,,[],Unknown
1116,75,2608167,Dew point,mwa0000034503395,,[],Unknown
1117,75,1125554,my first thigspeak c...,mwa0000019275521,,[],Unknown
1118,75,1458394,大立光LP4平均風速(m/s),mwa0000022589108,,[],Unknown
1119,75,2437179,Node2,mwa0000033027997,,[],Unknown
1120,75,2608457,node 1,mwa0000034500499,,[],Unknown
1121,75,2511757,Node 1,mwa0000018087041,,[],Unknown
1122,75,2607635,Node1,mwa0000034503404,,[],Unknown
1123,75,2159883,AirQo-G5180,airqodata02,,[],Unknown
1124,75,2436537,Dew Point,mwa0000033024913,,[],Unknown
1125,75,3096125,Dew Point Measurement,mwa0000039010900,,[],Unknown
1126,76,2436537,Dew Point,mwa0000033024913,,[],Unknown
1127,76,3096125,Dew Point Measurement,mwa0000039010900,,[],Unknown
1128,76,1365240,Dew point Measurement,mwa0000020239834,,[],Unknown
1129,76,3202417,Sensor2test,mwa0000035494460,,[],Unknown
1130,76,3051766,Dew Point Measurement,mwa0000028266494,,[],Unknown
1131,76,2512123,Node 1,mwa0000033706956,,[],Unknown
1132,76,2514686,Node 2,mwa0000033729857,,[],Unknown
1133,76,2608142,Node 2,mwa0000034498127,,[],Unknown
1134,76,2608585,Node 2,mwa0000034505113,,[],Unknown
1135,76,1036270,Dew point measurement,mwa0000017076057,,[],Unknown
1136,76,1032750,Week 5,mwa0000017592137,,[],Unknown
1137,76,2609135,Node 1,mwa0000034500645,,[],Unknown
1138,76,1360568,demo_exp_5i,mwa0000020943897,,[],Unknown
1139,76,2436833,Node 1,mwa0000032993880,,[],Unknown
1140,76,1003795,Week 5&6,mwa0000016924487,,[],Unknown
1141,77,1790933,Data comm set2,mwa0000017641244,,[],Unknown
1142,77,2020143,Temperature analysis,mwa0000028757033,,[],Unknown
1143,77,3242237,Dew Point Measurement,mwa0000040288992,,[],Unknown
1144,77,2514950,Node2,mwa0000033725516,,[],Unknown
1145,77,2608859,node 1,mwa0000034502893,,[],Unknown
1146,77,2512871,Node 2,mwa0000033712756,,[],Unknown
1147,77,2608214,Node 1,mwa0000034509768,,[],Unknown
1148,77,2513675,Model Node2 data,mwa0000033742777,,[],Unknown
1149,77,2514443,Node 2,mwa0000033729745,,[],Unknown
1150,77,2550128,Node 1 data,mwa0000022676297,,[],Unknown
1151,77,1029838,Dew Point Measurement,mwa0000017664583,,[],Unknown
1152,77,2514945,Node 1,mwa0000033725516,,[],Unknown
1153,77,1681907,HW2,mwa0000017960969,,[],Unknown
1154,77,1037425,IoT_Ren,mwa0000018151872,,[],Unknown
1155,77,1341167,Dew Point Measurement,mwa0000022004166,,[],Unknown
1156,78,1341167,Dew Point Measurement,mwa0000022004166,,[],Unknown
1157,78,2513700,Model Node 2,mwa0000033742813,,[],Unknown
1158,78,1278515,Dew Point Measurement,ctapiamultion,,[],Unknown
1159,78,1003687,Dew Point Measurement,stephaniebutler,,[],Unknown
1160,78,2609619,NODE2,mwa0000034493231,,[],Unknown
1161,78,2518384,Humidex,mwa0000024028930,,[],Unknown
1162,78,1343346,Dew Point Measurement,mwa0000022038995,,[],Unknown
1163,78,2796734,Dew Point Measurement,mwa0000035902352,,[],Unknown
1164,78,2436914,Node 1,mwa0000032995984,,[],Unknown
1165,78,2510820,Dew Point Measurement,mwa0000033729305,,[],Unknown
1166,78,2512229,Node 2,mwa0000033706956,,[],Unknown
1167,78,2514336,Node 2 Data,mwa0000033742454,,[],Unknown
1168,78,1667991,Data Communication -...,mwa0000021551461,,[],Unknown
1169,78,1036796,Dew Point Measurement,mwa0000017066089,,[],Unknown
1170,78,2514984,NODE1,mwa0000033731155,,[],Unknown
1171,79,2514984,NODE1,mwa0000033731155,,[],Unknown
1172,79,1105741,Channel 1,swapnadeep2k,,[],Unknown
1173,79,2549181,Dew Point Measurement,mwa0000034004621,,[],Unknown
1174,79,2514281,Node1,mwa0000033752706,,[],Unknown
1175,79,2436959,Node 1,mwa0000033029171,,[],Unknown
1176,79,2436736,Model Node 1 Data,mwa0000033004792,,[],Unknown
1177,79,3208627,Dew Pointmeasurement,mwa0000039960314,,[],Unknown
1178,79,1339502,Dew Point Measurement,mwa0000021999302,,[],Unknown
1179,79,3165233,Data Comm. Assignment,mwa0000028771193,,[],Unknown
1180,79,1002563,Dew Point Measurement,mwa0000017644889,,[],Unknown
1181,79,1680527,Dew Point Measurements,mwa0000024461068,,[],Unknown
1182,79,2608542,Node 1,mwa0000034505113,,[],Unknown
1183,79,2608603,node 2,mwa0000034501232,,[],Unknown
1184,79,2436850,Model Node 1 Data,mwa0000032992342,,[],Unknown
1185,79,660785,Dew Point Measurement,skondaga,,[],Unknown
1186,80,2608542,Node 1,mwa0000034505113,,[],Unknown
1187,80,2608603,node 2,mwa0000034501232,,[],Unknown
1188,80,2436850,Model Node 1 Data,mwa0000032992342,,[],Unknown
1189,80,660785,Dew Point Measurement,skondaga,,[],Unknown
1190,80,1028335,Dew Point Measurement,mwa0000016917018,,[],Unknown
1191,80,2608479,node 1,mwa0000034500398,,[],Unknown
1192,80,1347860,Asuinhuoneet,mwa0000018135078,,[],Unknown
1193,80,1003692,Dew Point Measurement,mwa0000017090245,,[],Unknown
1194,80,2608092,Node 1,mwa0000034498127,,[],Unknown
1195,80,2511744,Dew Point Temperature,mwa0000033708788,,[],Unknown
1196,80,857666,Networks,stanislas10,,[],Unknown
1197,80,2556159,model ode 1 data,mwa0000034048482,,[],Unknown
1198,80,1002528,Dew Point Measurement,mwa0000017078584,,[],Unknown
1199,80,843367,Pi,stanislas10,,[],Unknown
1200,80,857289,UPS,stanislas10,,[],Unknown
1201,81,857289,UPS,stanislas10,,[],Unknown
1202,81,1003688,Weather over the pas...,byrnec747,,[],Unknown
1203,81,1003696,Average Humidity,byrnec747,,[],Unknown
1204,81,1802164,Temp DC,mwa0000022599434,,[],Unknown
1205,81,2513691,node1,mwa0000033712442,,[],Unknown
1206,81,1380971,Dew Point Measurement,mwa0000022436833,,[],Unknown
1207,81,782201,Dew Point Measurement,woodyloks,,[],Unknown
1208,81,2513585,Node 1,mwa0000033709418,,[],Unknown
1209,81,1002626,Dew Point Measurement,mwa0000017645756,,[],Unknown
1210,81,1028355,Analysis/Scheduling ...,mwa0000017592117,,[],Unknown
1211,81,1684922,Dew Point Measurement,mwa0000021257049,,[],Unknown
1212,81,2514654,Node 1,mwa0000033732871,,[],Unknown
1213,81,1739563,AirQo_G575,airqodata02,,[],Unknown
1214,81,1358224,Dew Point Measurement,mwa0000020239947,,[],Unknown
1215,81,1002619,Dew Point Measurement,mwa0000016976144,,[],Unknown
1216,82,2548376,Dew point Measurement 2,mwa0000034002155,,[],Unknown
1217,82,1681316,effects of Wind,mwa0000021939476,,[],Unknown
1218,82,1681343,Dew Point Measurement,mwa0000020005558,,[],Unknown
1219,82,2778056,Dht,mwa0000036209418,,[],Unknown
1220,82,1332897,Dew Point Measurement,mwa0000021911357,,[],Unknown
1221,82,1606119,AirQo_G549,airqodata02,,[],Unknown
1222,82,2513693,Node1,mwa0000033706992,,[],Unknown
1223,82,1028691,Dew Point Measurement,mwa0000017734157,,[],Unknown
1224,82,1264677,Modul10,mwa0000020671867,,[],Unknown
1225,82,1465736,Dew point measurement,mwa0000023445313,,[],Unknown
1226,82,1336412,PruebaApp,mwa0000021972670,,[],Unknown
1227,82,1383883,Dew point Measurement,mwa0000020239885,,[],Unknown
1228,82,1358280,Dew Point Measurement,mwa0000019862322,,[],Unknown
1229,82,2337261,AIRQO_G5308,airqodata02,,[],Unknown
1230,82,1992596,Dew Point Measurement,mwa0000021732819,,[],Unknown
1231,83,2312937,AIRQO_G5282,airqodata02,,[],Unknown
1232,83,2155414,dew point measurment,mwa0000028419531,,[],Unknown
1233,83,2553080,Dew Point Measurement,mwa0000034039035,,[],Unknown
1234,83,1002631,Dew Point Measurement,mwa0000017645858,,[],Unknown
1235,83,1649106,Dew Point Measurement,mwa0000017623988,,[],Unknown
1236,83,1003799,Dew Point Measurement,mwa0000017106295,,[],Unknown
1237,83,1031796,Dew Point measurement,mwa0000017592149,,[],Unknown
1238,83,2354645,Dew Point Measurement,mwa0000031509531,,[],Unknown
1239,83,2512981,Dew point measurement,mwa0000033707745,,[],Unknown
1240,83,2335934,AIRQO_G5286,airqodata02,,[],Unknown
1241,83,1112704,Dew Point Measurement,mwa0000013947542,,[],Unknown
1242,83,2300621,AIRQO_G5279,airqodata02,,[],Unknown
1243,83,2513701,NODE 1,mwa0000033712601,,[],Unknown
1244,83,2514648,Node 2,mwa0000033711518,,[],Unknown
1245,83,1031174,Week 5 Redo,mwa0000017592123,,[],Unknown
1246,84,1031174,Week 5 Redo,mwa0000017592123,,[],Unknown
1247,84,2510947,Dew Point Measurement,mwa0000033730586,,[],Unknown
1248,84,2100600,DEW P MEASURE,mwa0000021190424,,[],Unknown
1249,84,2101109,Dew Point Measurement,mwa0000029080777,,[],Unknown
1250,84,3051768,Dew Point Measurement,mwa0000038504679,,[],Unknown
1251,84,1373121,Dew Point Measurement,mwa0000020239875,,[],Unknown
1252,84,1802310,DataComm,mwa0000026769540,,[],Unknown
1253,84,3205470,Weather Analysis,mwa0000034369007,,[],Unknown
1254,84,1461831,dew point measurement,mwa0000015360055,,[],Unknown
1255,84,2607316,Dew Point Measurement,mwa0000034502971,,[],Unknown
1256,84,3218921,A_福壽_長效溶氧,mwa0000029068820,,[],Unknown
1257,84,2051072,Dew Point Measurement,mwa0000028679137,,[],Unknown
1258,84,2549538,Dew Point Measurement,mwa0000034010491,,[],Unknown
1259,84,1307405,Dew Point Measurement,mwa0000014094773,,[],Unknown
1260,84,2977826,A_鑫台_2號機_石斑池,mwa0000029068820,,[],Unknown
1261,85,1487734,Dew Point Measurement,mwa0000023439160,,[],Unknown
1262,85,2436695,node1,mwa0000031689349,,[],Unknown
1263,85,2554324,Dew Point Measurement,mwa0000034048482,,[],Unknown
1264,85,2337241,AIRQO_G5305,airqodata02,,[],Unknown
1265,85,1962719,Airqo_G5133,airqodata02,,[],Unknown
1266,85,1874533,Airqo_G597,airqodata02,,[],Unknown
1267,85,2159893,AirQo-G5186,airqodata02,,[],Unknown
1268,85,982271,Dew Point Measurement,chelseapowe,,[],Unknown
1269,85,2243634,Dew Point Measurement,mwa0000030811125,,[],Unknown
1270,85,3242307,Dew Point Measurement,mwa0000040289211,,[],Unknown
1271,85,1265376,Dew Point Measurement,mwa0000020641933,,[],Unknown
1272,85,1028405,Dew Point Measurement,mwa0000016817193,,[],Unknown
1273,85,1682710,Dew Point Measurement,mwa0000019416479,,[],Unknown
1274,85,1028801,Dew Point Measurement,mwa0000017656602,,[],Unknown
1275,85,596161,tutoriel,simonsimon405,,[],Unknown
1276,86,596161,tutoriel,simonsimon405,,[],Unknown
1277,86,2514968,node1,mwa0000033716629,,[],Unknown
1278,86,1465703,Dew Point Measurement,dhwani0111,,[],Unknown
1279,86,1677869,Air quality,mwa0000022603318,,[],Unknown
1280,86,1331164,sudhanshu,sudhanshuag123,,[],Unknown
1281,86,1549169,Dew Point Measurement,mwa0000024488630,,[],Unknown
1282,86,2084567,AirQo-G5146,airqodata02,,[],Unknown
1283,86,893422,Shower Power User View,z5210031,,[],Unknown
1284,86,2856421,A_漢神國際_彌陀場域2,mwa0000029068820,,[],Unknown
1285,86,918401,OutDoorTemp,mwa0000016901516,,[],Unknown
1286,86,2548577,Dew Point Measuement,mwa0000034004485,,[],Unknown
1287,86,2100591,Dew Point Measurement,mwa0000029814143,,[],Unknown
1288,86,1267134,Mod10Percobaan2,mwa0000020660979,,[],Unknown
1289,86,1002531,Dew Point Measurement,mwa0000017644678,,[],Unknown
1290,86,1028749,Sense HAT,sdang123,,[],Unknown
1291,87,1028749,Sense HAT,sdang123,,[],Unknown
1292,87,2292847,AIRQO_G5278,airqodata02,,[],Unknown
1293,87,1675932,Dew Point Measurement,mwa0000025922571,,[],Unknown
1294,87,2510664,Dew Point Measurement,mwa0000033712125,,[],Unknown
1295,87,1217422,DewPointMeasurement,mwa0000019833306,,[],Unknown
1296,87,2513022,Dew Point Measurement,mwa0000033736703,,[],Unknown
1297,87,1874740,Airqo_G5100,airqodata02,,[],Unknown
1298,87,75345,RozdilNapeti,cen123,,[],Unknown
1299,87,598264,Dew Point Measurement,sulaimisuib,,[],Unknown
1300,87,2199621,AIRQO-G5244,airqodata02,,[],Unknown
1301,87,1032731,Dew Point Measurement,mwa0000017789745,,[],Unknown
1302,87,1800939,Data communication A...,mwa0000022599387,,[],Unknown
1303,87,622784,Dew Point Measurement,voegepas,,[],Unknown
1304,87,2100589,Dew Point Measurement,mwa0000029814130,,[],Unknown
1305,87,3263784,weather station,mwa0000032776727,,[],Unknown
1306,88,3246341,Dew Point Measurement,mwa0000028983329,,[],Unknown
1307,88,2067595,Weather Station Plus,IbrahimDayax,,[],Unknown
1308,88,2511294,Dew Point Measurement,mwa0000033733637,,[],Unknown
1309,88,2459546,Wondecla Power Gener...,mwa0000029721158,,[],Unknown
1310,88,1684798,Dew Point Measurement,mwa0000023937247,,[],Unknown
1311,88,1575537,AirQo_G542,airqodata02,,[],Unknown
1312,88,2084560,AirQo-G5144,airqodata02,,[],Unknown
1313,88,1525225,Temperature Measurement,realorlando,,[],Unknown
1314,88,2199038,Dew Point Measurement,mwa0000030443874,,[],Unknown
1315,88,2443412,Project 1,mwa0000033095471,,[],Unknown
1316,88,3096115,Dew Point Measurement,mwa0000039010698,,[],Unknown
1317,88,3250768,Dew Point Measurement,mwa0000040362607,,[],Unknown
1318,88,1036485,Dew Point Measurement,mwa0000017762501,,[],Unknown
1319,88,2417690,Dew Point Measurement,mwa0000027118814,,[],Unknown
1320,88,1691207,Dew Point Measurement,mwa0000025552833,,[],Unknown
1321,89,3258329,Dew Point Measuremen...,mwa0000040288992,,[],Unknown
1322,89,2553047,Dew Point Measurement,mwa0000034038086,,[],Unknown
1323,89,2940804,SII Testing,anacm1,,[],Unknown
1324,89,2337227,AIRQO_G5302,airqodata02,,[],Unknown
1325,89,2457939,Wind and Solar Power...,mwa0000026473284,,[],Unknown
1326,89,2256224,Temperature,mwa0000030968825,,[],Unknown
1327,89,2232332,一德放流口,mwa0000029068820,,[],Unknown
1328,89,2510665,Dew Point Measurement,mwa0000033712658,,[],Unknown
1329,89,2037837,ProudCeskyDub,mwa0000028812017,,[],Unknown
1330,89,2872190,A_鑫台_1號機_A1-2,mwa0000029068820,,[],Unknown
1331,89,2514889,Node2,mwa0000033710090,,[],Unknown
1332,89,1465702,Dew Point Measurement,mwa0000023445049,,[],Unknown
1333,89,1265712,Dew Point Meassurement,mwa0000020676739,,[],Unknown
1334,89,2194209,Dew Point Measurement,SANJAI,,[],Unknown
1335,89,2515007,NODE2,mwa0000033731155,,[],Unknown
1336,90,2514528,Node2,mwa0000033729847,,[],Unknown
1337,90,1002613,Dew Point Measurement,c19350163,,[],Unknown
1338,90,1003700,Dew Point Measurement,mwa0000017059745,,[],Unknown
1339,90,3263792,Dew point measurements,mwa0000030079104,,[],Unknown
1340,90,1699897,Dew Point Measurement,mwa0000024461149,,[],Unknown
1341,90,1358180,Dew Point Measurement,mwa0000020239886,,[],Unknown
1342,90,1358199,Dew Point Measurement,mwa0000020239902,,[],Unknown
1343,90,1465721,Dew Point Measurement,mwa0000023445133,,[],Unknown
1344,90,3189403,sensor 2,mwa0000035494460,,[],Unknown
1345,90,2556104,Model Node 1 data,mwa0000034004485,,[],Unknown
1346,90,1002557,Dew Point Measurement,mwa0000017644881,,[],Unknown
1347,90,1729383,DEW Points  measurem...,mwa0000014721101,,[],Unknown
1348,90,2444417,Dew Point Measurement,mwa0000024303555,,[],Unknown
1349,90,1358188,Dew Point Measurement,mwa0000020239914,,[],Unknown
1350,90,788395,Linda Maji,AlexanderM96,,[],Unknown
1351,91,788395,Linda Maji,AlexanderM96,,[],Unknown
1352,91,1689661,Industrial Temperature,mwa0000025554848,,[],Unknown
1353,91,890288,e healthcare monitor...,najihahyusri,,[],Unknown
1354,91,2606002,Dew point measurement,mwa0000034492500,,[],Unknown
1355,91,2546775,Dew Point Measurement,mwa0000030873489,,[],Unknown
1356,91,1906006,Dew Point Measurement,mwa0000027807498,,[],Unknown
1357,91,2975111,Channel 2975111,mwa0000037861933,,[],Unknown
1358,91,1684933,Dew Point Measurement,mwa0000019368049,,[],Unknown
1359,91,1034155,Dew Point Measurement,mwa0000017055910,,[],Unknown
1360,91,2874866,airqo_g5465,airqodata02,,[],Unknown
1361,91,3138377,Dew Point Measurement,mwa0000038319156,,[],Unknown
1362,91,2513621,Dew point measurement,mwa0000033752342,,[],Unknown
1363,91,2084603,AirQo-G5166,airqodata02,,[],Unknown
1364,91,1265323,6706184117 Praktikum...,mwa0000020641913,,[],Unknown
1365,91,2513021,Dew Point Measurement,mwa0000033732290,,[],Unknown
1366,92,1370234,Dew Point Measurement,mwa0000020318265,,[],Unknown
1367,92,2553060,Dew Point Measurement,mwa0000034038878,,[],Unknown
1368,92,2510999,Dew Point Measurement,mwa0000033712070,,[],Unknown
1369,92,1018567,DPM,mwa0000017799575,,[],Unknown
1370,92,1682639,HW3,mwa0000019416460,,[],Unknown
1371,92,2198534,AIRQO-G5207,airqodata02,,[],Unknown
1372,92,2335924,AIRQO_G5284,airqodata02,,[],Unknown
1373,92,1941671,Dew Point Measure,mwa0000019110388,,[],Unknown
1374,92,2670993,Dew Point Measurement,mwa0000035204372,,[],Unknown
1375,92,2793552,Dew Point Measurement,mwa0000036347880,,[],Unknown
1376,92,686086,channel 1,swarupnath43,,[],Unknown
1377,92,1752874,Airqo_G579,airqodata02,,[],Unknown
1378,92,1680633,Dew Point Measurement,mwa0000019794097,,[],Unknown
1379,92,1752875,Airqo_G580,airqodata02,,[],Unknown
1380,92,1677325,Dew Point Measurement,anayeligf,,[],Unknown
1381,93,2266770,AIRQO_G5271,airqodata02,,[],Unknown
1382,93,1794564,Air Quality Measurem...,mwa0000019065934,,[],Unknown
1383,93,1003706,Dew Point Measurement,mwa0000017051151,,[],Unknown
1384,93,620127,dewpoint,terrahlynn35,,[],Unknown
1385,93,1465719,Dew Point Measurement,mwa0000020331489,,[],Unknown
1386,93,1003887,Dew Point Measurement,mwa0000017411847,,[],Unknown
1387,93,2724094,Dew Point Measurement,mwa0000035799363,,[],Unknown
1388,93,800910,Dew Point Measurement,seizalal,,[],Unknown
1389,93,2427882,Dew Point Measurement,mwa0000024860114,,[],Unknown
1390,93,2510764,Dew Point Measurement,mwa0000033730516,,[],Unknown
1391,93,1002621,Dew Point Measurement,mwa0000017060395,,[],Unknown
1392,93,2513720,Node 2,mwa0000033710944,,[],Unknown
1393,93,2511694,node1,mwa0000033736233,,[],Unknown
1394,93,1465723,Dew point measurement,mwa0000023445124,,[],Unknown
1395,93,1358289,Dew Point Measurement,mwa0000020318219,,[],Unknown
1396,94,1358289,Dew Point Measurement,mwa0000020318219,,[],Unknown
1397,94,1031659,Dew Point Calculation,mwa0000017656403,,[],Unknown
1398,94,3202540,Channel2,mwa0000034618264,,[],Unknown
1399,94,2992532,B_愛河灣水質NO3(中正橋),mwa0000029068820,,[],Unknown
1400,94,1057098,Extras,mwa0000018135078,,[],Unknown
1401,94,1210619,Dew Point Measurement,mwa0000013221473,,[],Unknown
1402,94,3269767,LED ON/OFF,mwa0000040506117,,[],Unknown
1403,94,2421198,Dew Point Measurement,mwa0000021387969,,[],Unknown
1404,94,1003784,Dew Point Measuremen...,mwa0000017452666,,[],Unknown
1405,94,2100592,Dew Point Measurement,mwa0000029814142,,[],Unknown
1406,94,2513713,Node2,mwa0000033712442,,[],Unknown
1407,94,1003861,Dew Point Measurment,mwa0000016976879,,[],Unknown
1408,94,1161747,Dew Point Measurement,mwa0000019696403,,[],Unknown
1409,94,1683953,Dew Point Measurement,mwa0000024423552,,[],Unknown
1410,94,2419103,Dew Point Measurement,mwa0000025347069,,[],Unknown
1411,95,2419103,Dew Point Measurement,mwa0000025347069,,[],Unknown
1412,95,1789485,CO2 on Vapor Pressure,mwa0000023025671,,[],Unknown
1413,95,1260811,Dew Point Measurement,mwa0000020640722,,[],Unknown
1414,95,2198758,AIRQO-G5235,airqodata02,,[],Unknown
1415,95,1266910,Dew Point Measurement,mwa0000020691112,,[],Unknown
1416,95,2513706,Node 2,mwa0000033733816,,[],Unknown
1417,95,2607886,Dew Point Measurement,mwa0000034506740,,[],Unknown
1418,95,1844452,Dew Point Measurement,amraaa,,[],Unknown
1419,95,2874826,airqo_g5454,airqodata02,,[],Unknown
1420,95,2512133,Dew point measurement,mwa0000033742478,,[],Unknown
1421,95,2783819,H_a_r_z_Taupunkt,mwa0000017177247,,[],Unknown
1422,95,1003859,Dew Point Measurement,mwa0000016988742,,[],Unknown
1423,95,958775,Dew Point Measurement,mwa0000017023498,,[],Unknown
1424,95,3269749,LED ON/OFF,mwa0000040506965,,[],Unknown
1425,95,3202260,Channel 1,mwa0000034618264,,[],Unknown
1426,96,2511323,Dew point measurement,mwa0000033711518,,[],Unknown
1427,96,1682609,Dew Point Measurement,mwa0000026026643,,[],Unknown
1428,96,1744891,load usage monitoring,mwa0000021377548,,[],Unknown
1429,96,2026072,AirQo-G5137,airqodata02,,[],Unknown
1430,96,1682627,Dew Point Measurement,mwa0000020997660,,[],Unknown
1431,96,2631022,MVT_PIR,mwa0000034674285,,[],Unknown
1432,96,2874891,airqo_g5473,airqodata02,,[],Unknown
1433,96,1031620,Dew Point Measurement,mwa0000016856614,,[],Unknown
1434,96,1003867,Dew Point Measurment,mwa0000017656211,,[],Unknown
1435,96,2583530,Dew Point Measurement,mwa0000034305989,,[],Unknown
1436,96,615003,Dew Point Measurement,tuliphe,,[],Unknown
1437,96,1026627,Dew Point Measurement,mwa0000017900692,,[],Unknown
1438,96,3139659,Dew Measure - 2025 B,mwa0000017294246,,[],Unknown
1439,96,2472071,Air quality with SDS...,mwa0000026032701,,[],Unknown
1440,96,1034053,Dew Point Measurement,mwa0000017050450,,[],Unknown
1441,97,2510713,Dew Point Measurement,mwa0000033708518,,[],Unknown
1442,97,1709468,Dew Point Measurement,mwa0000021128224,,[],Unknown
1443,97,2511822,Dew Point Measurement,mwa0000033710688,,[],Unknown
1444,97,2510952,Dew Point Measurement,mwa0000033730980,,[],Unknown
1445,97,1035682,Dew Point Measurements,mwa0000017076206,,[],Unknown
1446,97,1873247,Airqo_G593,airqodata02,,[],Unknown
1447,97,2874876,airqo_g5467,airqodata02,,[],Unknown
1448,97,1020164,Dew Point Measurement,mwa0000017817018,,[],Unknown
1449,97,1365831,ESP32,mwa0000022277474,,[],Unknown
1450,97,1036045,Dew Point Measurement,mwa0000017653812,,[],Unknown
1451,97,1347961,RUCHER GRANDIS,Lycabbio,,[],Unknown
1452,97,624688,Dew Point Measurement,thuydo2510,,[],Unknown
1453,97,1263877,Dew Point Measurement,mwa0000020660869,,[],Unknown
1454,97,2850346,Dew Point Measurement,mwa0000030084994,,[],Unknown
1455,97,2514995,node 2,mwa0000033716629,,[],Unknown
1456,98,1165927,Dew Point Measurement,mwa0000019768058,,[],Unknown
1457,98,573883,Makkarin lämpötila,jounikar,,[],Unknown
1458,98,3269762,LED ON/OFF,mwa0000040506269,,[],Unknown
1459,98,3258185,Dew Point Measuremen...,mwa0000040213708,,[],Unknown
1460,98,2943900,Dew Point Measurement,mwa0000037705266,,[],Unknown
1461,98,2427954,IOT,mwa0000026368607,,[],Unknown
1462,98,2647276,AIRQO_G5356,airqodata02,,[],Unknown
1463,98,1951298,GNIEZNO - Łagiewniki...,mwa0000018555385,,[],Unknown
1464,98,1951302,GNIEZNO - Łagiewniki...,mwa0000018555385,,[],Unknown
1465,98,711343,Dew Point Measurement,maithili16,,[],Unknown
1466,98,2963713,airqo_g5503,airqodata02,,[],Unknown
1467,98,2510940,Dew Point Measurement,mwa0000026682311,,[],Unknown
1468,98,2874809,airqo_g5450,airqodata02,,[],Unknown
1469,98,1005100,Temperature Measurem...,mwa0000017664566,,[],Unknown
1470,98,1027894,Dew Point Measurement,dffaiskhanov,,[],Unknown
1471,99,1027894,Dew Point Measurement,dffaiskhanov,,[],Unknown
1472,99,1968575,Dew Point Measurement,mwa0000018624209,,[],Unknown
1473,99,2513740,Node2,mwa0000033706992,,[],Unknown
1474,99,2421772,Dew Point Measurement,mwa0000025347294,,[],Unknown
1475,99,3269755,Temperature measurement,mwa0000031985862,,[],Unknown
1476,99,1566168,Visu test mkr pile,Lycabbio,,[],Unknown
1477,99,2743776,Final Exam Dew Point...,mwa0000035902352,,[],Unknown
1478,99,1033264,Dew Point Measurement,mwa0000017656222,,[],Unknown
1479,99,1682635,HW2,mwa0000019416460,,[],Unknown
1480,99,1036436,Dew Point Measurement 2,mwa0000017654096,,[],Unknown
1481,99,1767534,Dew Point Measurement,mwa0000024593140,,[],Unknown
1482,99,1679130,Dew Point Measurement,mwa0000019607459,,[],Unknown
1483,99,1889346,Dew Point Measurement,mwa0000027892173,,[],Unknown
1484,99,1683946,HW2,mwa0000021362371,,[],Unknown
1485,99,1680636,Dew Point Calculation,mwa0000021362371,,[],Unknown
